Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
"Santa Clara, CA",1307.3935000000004,-4268.431999999999,131.0,15.0,0.0
"Santa Cruz County, CA",36.9741,-122.0308,1.0,0.0,0.0
"Santa Rosa County, FL",153.845,-434.912,5.0,0.0,2.0
"Sarasota, FL",218.6912,-660.2456000000001,8.0,0.0,0.0
"Saratoga County, NY",129.09720000000002,-221.80800000000002,6.0,0.0,0.0
"Seattle, WA",1428.185999999999,-3669.9630000000016,43.0,22.0,2.0
"Shasta County, CA",40.7909,-121.8474,1.0,0.0,0.0
"Shelby County, TN",70.2538,-179.8506,2.0,0.0,0.0
"Snohomish County, WA",480.3300000000001,-1218.339,147.0,0.0,8.0
"Sonoma County, CA",308.624,-983.9103999999999,10.0,0.0,0.0
South Carolina,196992.90935030318,-469783.4577652786,2333657.0,0.0,56192.0
South Dakota,301541.8065563288,-675212.7380761611,505979.0,0.0,6263.0
"Spartanburg County, SC",34.8606,-81.9535,1.0,0.0,0.0
"Spokane County, WA",95.3174,-234.845,2.0,0.0,0.0
"St. Louis County, MO",77.2206,-180.825,2.0,0.0,0.0
"Suffolk County, MA",169.4404,-284.2356,22.0,4.0,0.0
"Suffolk County, NY",81.9698,-145.2302,2.0,0.0,0.0
"Summit County, CO",158.3648,-424.256,8.0,0.0,0.0
"Tempe, AZ",1169.892500000001,-3917.9000000000015,35.0,11.0,0.0
Tennessee,428089.8220675481,-1027275.5529008511,3180097.0,0.0,44451.0
Texas,880433.0352890352,-2738610.3640595055,11124289.0,0.0,189907.0
"Travis, CA",38.21267844,-89.50299462,5.0,0.0,0.0
"Travis, CA (From Diamond Princess)",650.6257000000002,-2072.9783,10.0,0.0,0.0
"Tulsa County, OK",108.4779,-287.823,3.0,0.0,0.0
US,148.3608,-382.8516,4.0,532.0,0.0
"Ulster County, NY",83.7172,-148.6236,2.0,0.0,0.0
"Umatilla, OR",366.19999999999993,-950.0847999999999,8.0,0.0,0.0
