Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths
"Santa Clara, CA",224.12460000000004,-731.7312000000001,74.0,6.0,0.0
"Santa Cruz County, CA",36.9741,-122.0308,1.0,0.0,0.0
"Santa Rosa County, FL",153.845,-434.912,5.0,0.0,2.0
"Sarasota, FL",218.6912,-660.2456000000001,8.0,0.0,0.0
"Saratoga County, NY",129.09720000000002,-221.80800000000002,6.0,0.0,0.0
"Seattle, WA",47.6062,-122.3321,9.0,1.0,1.0
"Shasta County, CA",40.7909,-121.8474,1.0,0.0,0.0
"Shelby County, TN",70.2538,-179.8506,2.0,0.0,0.0
"Snohomish County, WA",432.2970000000001,-1096.5050999999999,146.0,0.0,8.0
"Sonoma County, CA",308.624,-983.9103999999999,10.0,0.0,0.0
South Carolina,15892.004565680018,-37897.28596942994,6262.0,0.0,121.0
South Dakota,28196.219070349976,-63244.08957247995,704.0,0.0,21.0
"Spartanburg County, SC",34.8606,-81.9535,1.0,0.0,0.0
"Spokane County, WA",95.3174,-234.845,2.0,0.0,0.0
"St. Louis County, MO",77.2206,-180.825,2.0,0.0,0.0
"Suffolk County, MA",169.4404,-284.2356,22.0,4.0,0.0
"Suffolk County, NY",81.9698,-145.2302,2.0,0.0,0.0
"Summit County, CO",158.3648,-424.256,8.0,0.0,0.0
"Tempe, AZ",200.553,-671.6400000000001,6.0,6.0,0.0
Tennessee,34087.424695319954,-81804.37815733995,13855.0,0.0,71.0
Texas,77065.31602878998,-240168.6550519407,21124.0,0.0,275.0
"Travis, CA (From Diamond Princess)",344.44890000000004,-1097.4590999999998,0.0,0.0,0.0
"Tulsa County, OK",108.4779,-287.823,3.0,0.0,0.0
US,148.3608,-382.8516,4.0,532.0,0.0
"Ulster County, NY",83.7172,-148.6236,2.0,0.0,0.0
"Umatilla, OR",366.19999999999993,-950.0847999999999,8.0,0.0,0.0
Unassigned Location (From Diamond Princess),318.9933,1256.742,404.0,0.0,0.0
"Unassigned Location, VT",44.3378,-72.7563,1.0,0.0,0.0
"Unassigned Location, WA",191.0044,-482.9604,20.0,0.0,0.0
United States Virgin Islands,73.3716,-259.6586,13.0,0.0,0.0
"Unknown Location, MA",84.8144,-142.7648,2.0,0.0,0.0
Utah,11424.160085590003,-32143.742355900034,5425.0,0.0,18.0
Vermont,6621.355241240003,-10903.309088439995,1825.0,0.0,94.0
Virgin Islands,256.70120000000003,-908.5482,196.0,0.0,0.0
"Virgin Islands, U.S.",36.6716,-129.7926,2.0,0.0,0.0
Virginia,48991.86850904002,-102344.60603519999,6854.0,0.0,138.0
"Volusia County, FL",58.056,-162.151,2.0,0.0,0.0
"Wake County, NC",250.6224,-549.9627,7.0,0.0,0.0
Washington,18802.23866283999,-48057.68398650002,45216.0,8.0,2184.0
"Washington County, OR",318.82899999999995,-861.9702,27.0,0.0,0.0
"Washington, D.C.",77.8144,-154.0738,4.0,0.0,0.0
"Washoe County, NV",162.2432,-478.414,6.0,0.0,0.0
"Wayne County, PA",166.6956,-300.9916,4.0,0.0,0.0
West Virginia,20767.19765757001,-43132.16341725006,756.0,0.0,2.0
"Westchester County, NY",287.85400000000004,-516.5643,286.0,0.0,0.0
"Williamson County, TN",179.58950000000002,-434.31100000000004,5.0,0.0,0.0
Wisconsin,31420.022882939946,-63566.16906766008,9377.0,8.0,132.0
Wuhan Evacuee,0.0,0.0,4.0,0.0,0.0
Wyoming,10077.643461939993,-25076.653885999993,715.0,0.0,0.0
"Yolo County, CA",155.0584,-487.6072,4.0,0.0,0.0
